Frame,Node Number,X,Y,Z
0,4,0.35399121046066284,0.4359471797943115,-0.2785674035549164
0,8,0.3771708309650421,0.46763497591018677,-0.286874383687973
0,12,0.3899135887622833,0.45161375403404236,-0.24512344598770142
1,4,0.34664395451545715,0.45037561655044556,-0.18159885704517365
1,8,0.3725491762161255,0.5163787603378296,-0.19223719835281372
1,12,0.39058536291122437,0.4916565418243408,-0.15371590852737427
2,4,0.34741318225860596,0.4485085904598236,-0.19738085567951202
2,8,0.34320515394210815,0.5147016048431396,-0.18386830389499664
2,12,0.3770409822463989,0.5076944231987,-0.15178756415843964
3,4,0.3500467538833618,0.4369237422943115,-0.18567362427711487
3,8,0.37068718671798706,0.4981996417045593,-0.19361263513565063
3,12,0.3888811469078064,0.4870964288711548,-0.1536901891231537
4,4,0.3642153739929199,0.43256813287734985,-0.17719736695289612
4,8,0.38538801670074463,0.49480006098747253,-0.1802060306072235
4,12,0.4122251272201538,0.5002549886703491,-0.14272178709506989
5,4,0.3788529634475708,0.43580424785614014,-0.18077604472637177
5,8,0.3906521201133728,0.5091710090637207,-0.17108170688152313
5,12,0.4163956642150879,0.5217618346214294,-0.13961809873580933
6,4,0.3711569309234619,0.40767520666122437,-0.1697150617837906
6,8,0.3904217481613159,0.48458999395370483,-0.15802450478076935
6,12,0.41208624839782715,0.48543354868888855,-0.12484843283891678
7,4,0.3682062029838562,0.3557484447956085,-0.17277781665325165
7,8,0.3827466368675232,0.44423532485961914,-0.16225530207157135
7,12,0.40871545672416687,0.45074981451034546,-0.13756196200847626
8,4,0.3730652630329132,0.3165093660354614,-0.1543436497449875
8,8,0.3827553987503052,0.42211851477622986,-0.1560545414686203
8,12,0.41229045391082764,0.4457736313343048,-0.1302957683801651
9,4,0.3853070139884949,0.3216172754764557,-0.1549440622329712
9,8,0.3866824507713318,0.42113032937049866,-0.15770314633846283
9,12,0.4193241596221924,0.4456454813480377,-0.13778209686279297
10,4,0.37316274642944336,0.3029141128063202,-0.149152934551239
